offense,total_attempts,actual_conversion_rate,avg_predicted_prob
St. Francis (PA),8,62.50%,72.65%
Stanford,124,73.39%,77.74%
Stephen F. Austin,9,100.00%,78.04%
Stony Brook,11,9.09%,79.65%
Syracuse,100,81.00%,76.72%
TCU,94,86.17%,78.73%
Tarleton State,10,20.00%,78.49%
Temple,107,71.03%,78.20%
Tennessee,103,94.17%,78.46%
Tennessee State,12,100.00%,79.45%
Tennessee Tech,8,100.00%,75.63%
Texas,127,86.61%,79.42%
Texas A&M,117,88.03%,79.03%
Texas Southern,21,57.14%,72.46%
Texas State,96,87.50%,78.06%
Texas Tech,114,87.72%,77.76%
The Citadel,12,0.00%,76.77%
Toledo,101,86.14%,77.73%
Towson,10,70.00%,78.74%
Troy,111,81.08%,78.58%
Tulane,124,91.94%,79.00%
Tulsa,111,88.29%,76.96%
UAB,98,79.59%,77.70%
UAlbany,24,66.67%,74.91%
UC Davis,11,9.09%,72.43%
UCF,82,86.59%,77.92%
UCLA,101,62.38%,77.86%
UConn,106,71.70%,77.37%
UL Monroe,125,71.20%,77.57%
UNLV,101,80.20%,78.26%
USC,83,89.16%,76.61%
UT Martin,14,0.00%,75.26%
UTEP,121,79.34%,78.35%
UTSA,102,83.33%,77.28%
Utah,116,80.17%,77.92%
Utah State,122,76.23%,77.53%
Utah Tech,10,80.00%,76.23%
VMI,8,25.00%,76.51%
Vanderbilt,114,71.05%,76.68%
Villanova,11,18.18%,74.36%
Virginia,129,75.97%,76.85%
Virginia Tech,127,78.74%,77.73%
Wagner,22,22.73%,76.42%
Wake Forest,109,67.89%,77.97%
Washington,92,92.39%,77.96%
Washington State,107,82.24%,77.01%
Weber State,8,62.50%,71.44%
West Virginia,106,85.85%,78.37%
Western Carolina,9,66.67%,77.65%
Western Illinois,10,70.00%,71.84%
Western Kentucky,105,88.57%,76.68%
Western Michigan,136,68.38%,77.44%
William & Mary,10,100.00%,79.59%
Wisconsin,107,71.96%,77.30%
Wofford,8,0.00%,72.83%
Wyoming,94,87.23%,76.98%
Youngstown State,8,100.00%,72.75%
