offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Tarleton State,13,53.85%,70.38%
Temple,135,66.67%,74.81%
Tennessee,120,75.00%,78.50%
Tennessee Tech,19,26.32%,75.07%
Texas,118,86.44%,78.67%
Texas A&M,110,90.00%,78.85%
Texas Southern,12,0.00%,67.83%
Texas State,87,82.76%,78.71%
Texas Tech,108,92.59%,77.53%
The Citadel,8,37.50%,79.27%
Toledo,117,70.94%,78.53%
Towson,12,91.67%,80.07%
Troy,91,78.02%,77.03%
Tulane,88,78.41%,78.34%
Tulsa,143,63.64%,76.35%
UAB,111,81.08%,76.88%
UAlbany,12,75.00%,79.93%
UC Davis,5,40.00%,84.65%
UCF,101,81.19%,78.31%
UCLA,99,81.82%,77.77%
UConn,116,79.31%,77.50%
UL Monroe,113,74.34%,76.42%
UNLV,113,79.65%,80.18%
USC,92,79.35%,78.66%
UT Martin,20,70.00%,76.43%
UTEP,132,76.52%,75.80%
UTSA,125,89.60%,77.99%
Utah,125,83.20%,77.67%
Utah State,109,72.48%,76.20%
Utah Tech,12,100.00%,71.55%
VMI,13,15.38%,71.15%
Vanderbilt,99,90.91%,77.44%
Villanova,10,30.00%,79.55%
Virginia,135,74.07%,77.33%
Virginia Tech,115,82.61%,77.29%
Wagner,14,64.29%,75.85%
Wake Forest,108,86.11%,78.24%
Washington,104,75.00%,79.47%
Washington State,88,93.18%,77.78%
Weber State,19,36.84%,77.77%
West Virginia,101,86.14%,79.58%
Western Carolina,9,66.67%,75.08%
Western Illinois,21,57.14%,73.02%
Western Kentucky,116,78.45%,77.27%
Western Michigan,110,62.73%,77.99%
William & Mary,13,76.92%,73.62%
Wisconsin,105,82.86%,77.60%
Wofford,14,100.00%,80.07%
Wyoming,119,72.27%,76.82%
Youngstown State,7,71.43%,71.99%
