offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Georgia Southern,119,80.67%,77.84%
Georgia State,128,87.50%,76.14%
Georgia Tech,149,67.79%,76.61%
Grambling,17,35.29%,74.13%
Hawai'i,138,72.46%,77.49%
Holy Cross,7,42.86%,76.22%
Houston,100,82.00%,78.30%
Houston Christian,11,0.00%,73.68%
Howard,9,66.67%,78.36%
Idaho,26,84.62%,76.25%
Idaho State,29,96.55%,73.85%
Illinois,129,87.60%,78.00%
Illinois State,7,0.00%,76.68%
Incarnate Word,14,85.71%,74.43%
Indiana,145,87.59%,75.71%
Indiana State,14,0.00%,71.30%
Iowa,126,80.95%,76.45%
Iowa State,133,81.95%,77.53%
Jacksonville State,16,43.75%,72.27%
James Madison,106,87.74%,77.94%
Kansas,88,75.00%,77.94%
Kansas State,134,88.81%,78.22%
Kennesaw State,9,77.78%,76.67%
Kent State,110,83.64%,78.04%
Kentucky,116,75.86%,77.26%
LSU,107,68.22%,76.80%
Lafayette,18,72.22%,72.28%
Lamar,25,48.00%,77.02%
Liberty,118,73.73%,77.36%
Long Island University,24,41.67%,72.50%
Louisiana,131,80.15%,77.35%
Louisiana Tech,129,89.15%,77.31%
Louisville,130,86.15%,77.78%
Maine,27,44.44%,73.95%
Marshall,134,76.12%,77.15%
Maryland,133,78.95%,76.42%
Massachusetts,154,72.08%,76.16%
McNeese,7,57.14%,73.84%
Memphis,113,79.65%,77.99%
Mercer,11,45.45%,72.62%
Miami,119,78.15%,78.04%
Miami (OH),115,77.39%,76.80%
Michigan,130,97.69%,77.51%
Michigan State,115,73.91%,76.61%
Middle Tennessee,130,82.31%,77.12%
Minnesota,87,79.31%,77.64%
Mississippi State,124,77.42%,77.24%
Missouri,131,84.73%,76.91%
Missouri State,14,85.71%,75.94%
Montana State,9,100.00%,74.59%
Morgan State,12,75.00%,73.05%
Murray State,29,44.83%,72.67%
NC State,137,86.13%,76.66%
Navy,149,70.47%,77.41%
Nebraska,110,80.00%,74.53%
Nevada,151,62.25%,76.00%
New Hampshire,13,46.15%,72.93%
New Mexico,125,60.80%,74.98%
New Mexico State,97,48.45%,75.35%
Nicholls,25,56.00%,73.74%
Norfolk State,26,30.77%,71.06%
North Alabama,9,0.00%,71.90%
North Carolina,125,92.00%,78.04%
North Carolina A&T,6,83.33%,77.03%
North Dakota,11,36.36%,79.90%
North Dakota State,8,87.50%,76.77%
North Texas,118,91.53%,77.63%
Northern Arizona,8,50.00%,72.82%
Northern Colorado,14,42.86%,73.00%
Northern Illinois,112,83.04%,77.34%
Northern Iowa,6,83.33%,80.59%
Northwestern,122,61.48%,76.89%
Northwestern State,20,25.00%,72.55%
Notre Dame,100,77.00%,77.91%
Ohio,123,82.93%,78.67%
Ohio State,103,89.32%,77.66%
Oklahoma,114,73.68%,76.72%
Oklahoma State,137,78.83%,76.51%
Old Dominion,129,63.57%,76.52%
Ole Miss,118,91.53%,78.08%
Oregon,96,92.71%,78.72%
Oregon State,98,85.71%,78.22%
Penn State,132,85.61%,77.71%
Pittsburgh,111,90.99%,77.10%
Portland State,26,73.08%,76.84%
Purdue,125,86.40%,77.66%
Rhode Island,8,62.50%,74.73%
Rice,93,75.27%,77.40%
Richmond,10,90.00%,77.77%
Robert Morris,25,64.00%,73.34%
Rutgers,138,71.01%,75.70%
SE Louisiana,20,50.00%,75.09%
SMU,112,81.25%,78.12%
Sacramento State,4,100.00%,80.20%
Sam Houston,12,0.00%,71.68%
Samford,11,0.00%,72.25%
San Diego State,117,69.23%,77.28%
San José State,95,81.05%,77.39%
South Alabama,110,84.55%,76.58%
South Carolina,107,68.22%,76.74%
South Carolina State,20,50.00%,74.46%
South Dakota,17,0.00%,76.48%
South Dakota State,19,52.63%,68.63%
South Florida,108,70.37%,77.62%
Southeast Missouri State,14,50.00%,77.09%
Southern,10,0.00%,76.88%
Southern Illinois,18,72.22%,77.76%
Southern Miss,131,77.86%,77.29%
Southern Utah,5,100.00%,69.28%
St. Francis (PA),12,83.33%,75.70%
Stanford,111,88.29%,76.42%
Stephen F. Austin,11,90.91%,73.12%
Stony Brook,14,71.43%,78.13%
Syracuse,99,88.89%,76.50%
TCU,132,87.12%,77.73%
Tarleton State,8,50.00%,73.95%
Temple,132,74.24%,76.94%
Tennessee,117,94.02%,78.32%
Tennessee State,14,28.57%,72.28%
Tennessee Tech,15,73.33%,74.34%
Texas,111,81.98%,77.06%
Texas A&M,119,74.79%,76.20%
Texas Southern,19,84.21%,77.70%
Texas State,124,68.55%,75.35%
Texas Tech,140,80.71%,76.19%
The Citadel,12,0.00%,74.97%
Toledo,130,78.46%,76.64%
Towson,17,100.00%,71.43%
Troy,111,73.87%,77.74%
Tulane,119,89.92%,78.64%
Tulsa,124,92.74%,76.69%
UAB,98,89.80%,78.17%
UAlbany,14,71.43%,72.25%
UC Davis,11,81.82%,78.54%
UCF,112,86.61%,77.79%
UCLA,90,90.00%,78.90%
UConn,117,64.96%,75.87%
UL Monroe,113,79.65%,75.70%
UNLV,113,74.34%,76.20%
USC,92,85.87%,77.69%
UT Martin,27,85.19%,72.90%
UTEP,112,83.93%,77.57%
UTSA,102,79.41%,78.26%
Utah,92,77.17%,79.16%
Utah State,140,72.14%,77.74%
Utah Tech,15,100.00%,74.93%
VMI,13,46.15%,70.90%
Valparaiso,16,81.25%,73.83%
Vanderbilt,119,66.39%,76.53%
Villanova,11,81.82%,73.90%
Virginia,108,75.93%,77.24%
Virginia Tech,113,76.11%,75.60%
Wagner,22,27.27%,71.34%
Wake Forest,114,85.96%,77.70%
Washington,95,93.68%,78.71%
Washington State,111,84.68%,77.07%
Weber State,8,100.00%,76.02%
West Virginia,117,76.92%,77.17%
Western Carolina,8,100.00%,77.43%
Western Illinois,14,78.57%,73.94%
Western Kentucky,117,80.34%,78.91%
Western Michigan,139,79.14%,75.96%
William & Mary,7,100.00%,82.65%
Wisconsin,102,87.25%,77.07%
Wofford,8,12.50%,73.15%
Wyoming,115,80.87%,76.28%
Youngstown State,12,0.00%,72.62%
